Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.002366526,0.000618849,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.187639338,0.193437155,0.174332009
1,1,0.002366526,0.000695941,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.189483211,0.195358119,0.17898414
1,2,0.00297042,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.184248293,0.190031154,0.180513945
1,3,0.002467038,5.96E-05,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.176109102,0.181448222,0.187824428
1,4,0.002873008,0,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.201644707,0.210142598,0.222129361
1,5,0.006777879,0.001993739,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.32368065,0.338077149,0.310291949
1,6,0.007544001,0.001472058,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.402749864,0.42864057,0.453281829
1,7,0.012346741,0.001992312,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.737600238,0.80256323,0.823656536
1,8,0.011945603,0.002407562,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.739938307,0.804915411,0.694667278
1,9,0.011507673,0.002741005,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.739613948,0.804486565,0.734011637
1,10,0.011522892,0.003014224,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.746454039,0.811615094,0.819430762
1,11,0.011118592,0.00268667,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.730904739,0.79533394,0.878830268
1,12,0.011557543,0.003175794,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.750977433,0.816334709,0.801498692
1,13,0.011582711,0.003543074,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.76026403,0.826013754,0.797176714
