Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.005679663,0.001547124,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.181938306,0.193437155,0.184753376
1,1,0.005679663,0.001739852,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.183666542,0.195358119,0.209685757
1,2,0.007129008,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.178630084,0.190031154,0.199383931
1,3,0.00592089,0.000149104,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.171106166,0.181448222,0.166988743
1,4,0.00689522,0,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.194703253,0.210142598,0.228809931
1,5,0.016266909,0.004984347,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.308281769,0.338077149,0.314846498
1,6,0.018105604,0.003680146,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.381222446,0.42864057,0.427100555
1,7,0.029632178,0.004980779,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.69105315,0.80256323,0.920751845
1,8,0.028669448,0.006018905,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.693329937,0.804915411,0.704220537
1,9,0.027618416,0.006852512,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.693118515,0.804486565,0.840516407
1,10,0.027654941,0.00753556,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.699527471,0.811615094,0.707879528
1,11,0.026684622,0.006716676,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.68503552,0.79533394,0.804011926
1,12,0.027738102,0.007939485,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.70376,0.816334709,0.79142308
1,13,0.027798506,0.008857685,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.712460441,0.826013754,0.702535848
1,14,0.027867653,0.011605951,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.737695593,0.85406632,0.856035542
1,15,0.028878719,0.015942627,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.78413384,0.905852309,0.8042714
1,16,0.026504941,0.012913927,0.00548248,0.003987258,0.005980887,0.004984073,0.004485665,0,0,0.034888509,0.66826047,0.76748821,0.806350508
1,17,0.022596998,0.006901398,0.003916057,0.002848042,0.004272062,0.003560052,0.003204047,0,0,0.024920363,0.514282096,0.586501115,0.568913155
1,18,0.022940279,0.004776477,0.003916057,0.002848042,0.004272062,0.003560052,0.003204047,0,0,0.024920363,0.49766889,0.56810627,0.555863544
1,19,0.02055556,0.004110638,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.402981038,0.45327961,0.418382802
1,20,0.02021092,0.003981267,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.399283016,0.449107578,0.395867652
1,21,0.006895195,0.001495484,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.208054953,0.224989756,0.207439421
1,22,0.00592089,0.002322137,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.19054335,0.203058439,0.185254567
1,23,0.007563285,0.001983501,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.19953353,0.213352378,0.245335682
