Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.008519494,0.001237699,0.000249204,0.000213603,0.000256324,0.000178003,0.000142402,0.005212259,0.000259074,0.001780026,0.175389068,0.193437155,0.221536464
1,1,0.008519494,0.001391882,0.000249204,0.000213603,0.000256324,0.000178003,0.000142402,0.005211943,0.000259074,0.001780026,0.177156165,0.195358119,0.175946004
1,2,0.010693512,0,0.000249204,0.000213603,0.000256324,0.000178003,0.000142402,0.005211627,0.000259074,0.001780026,0.17104738,0.190031154,0.188829291
1,3,0.008881336,0.000119283,0.000249204,0.000213603,0.000256324,0.000178003,0.000142402,0.005211311,0.000259074,0.001780026,0.164157658,0.181448222,0.194907117
1,4,0.01034283,0,0.000498407,0.000427206,0.000512647,0.000356005,0.000284804,0.005210994,0.000259074,0.003560052,0.188690577,0.210142598,0.216705171
1,5,0.024400363,0.003987477,0.000498407,0.000427206,0.000512647,0.000356005,0.000284804,0.005210678,0.000259074,0.003560052,0.298580434,0.338077149,0.361989391
1,6,0.027158405,0.002944117,0.001495222,0.001281619,0.001537942,0.001068016,0.000854412,0.005210362,0.000259074,0.010680156,0.376151245,0.42864057,0.473501032
1,7,0.044448267,0.003984623,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.005210046,0.000259074,0.032040468,0.697909118,0.80256323,0.746556634
1,8,0.043004171,0.004815124,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.00520973,0.000259074,0.032040468,0.700875211,0.804915411,0.788265687
1,9,0.041427624,0.00548201,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.005209414,0.000259074,0.032040468,0.701356343,0.804486565,0.685727692
1,10,0.041482412,0.006028448,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.005209098,0.000259074,0.032040468,0.707883962,0.811615094,0.724296845
1,11,0.040026932,0.005373341,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.005208782,0.000259074,0.032040468,0.693713711,0.79533394,0.753966394
1,12,0.041607153,0.006351588,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.005208466,0.000259074,0.032040468,0.712156327,0.816334709,0.880702794
1,13,0.041697759,0.007086148,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.00520815,0.000259074,0.032040468,0.721010523,0.826013754,0.918250247
1,14,0.041801479,0.009284761,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.005207833,0.000259074,0.032040468,0.746761071,0.85406632,0.838652391
1,15,0.043318079,0.012754102,0.004485665,0.003844856,0.004613827,0.003204047,0.002563237,0.005207517,0.000259074,0.032040468,0.793561436,0.905852309,0.786418442
1,16,0.039757411,0.010331142,0.003488851,0.002990444,0.003588532,0.002492036,0.001993629,0.005207201,0.000259074,0.024920364,0.672459526,0.76748821,0.765417001
